granter_ministry,granter_jcn,grant_date,grant_month,grant_year,amount,amount_est,grantee_clean,grantee,grantee_detail,grantee_jcn,grant_name,description,grant_type,npo_type,admin_division,num_bidders,competitive_bid,govt_reemployees,filename
MEXT,NA,2011-07-29,2011 Jul,2011,33390000,0,小林理学研究所,財団法人小林理学研究所,"（財）小林理学研究所
東京都国分寺市東元町３－２０－４１",NA,星子研二　契約部長　東京都調布市深大寺東町7-44-1,ＤＲＥＡＭＳ低騒音運航技術の研究開発（その１のイ）騒音予測モデルおよび騒音計測システムの技術検討　一式,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki3-3
MEXT,NA,2011-07-29,2011 Jul,2011,619000,0,長唄協会,一般社団法人長唄協会,"社団法人長唄協会
東京都中央区銀座委2－11－19銀座市川ビルディング4階",NA,"文化庁次長　
吉田　大輔
東京都千代田区霞が関3-2-2",平成23年度伝統音楽普及促進支援事業(教材作成事業）,Goods and Services,特社,国所管,19,Negotiated,0,h23_youshiki2-4
MIAC,NA,2011-07-29,2011 Jul,2011,5323500,NA,近畿健康管理センタ-,財団法人近畿健康管理センター,"財団法人
近畿健康管理センター
滋賀県大津市木下町10-10",NA,"情報通信研究機構
契約担当理事
鈴木　茂樹
東京都小金井市貫井北町4-2-1",ユニバーサルコミュニケーション研究所健康診断の実施作業,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki3-3
MLIT,NA,2011-07-29,2011 Jul,2011,13440000,13440000,国際建設技術協会,一般社団法人国際建設技術協会,"（特社）国際建設技術協会
東京都千代田区麹町５－３－２３ニュー麹ビル",NA,"支出負担行為担当官
国土交通省総合政策局長　北村隆志
東京都千代田区霞が関２－１－３","平成２３年度　南アフリカ国防災・気候変動対策等検討業務　
一式",Goods and Services,特社,国所管,3,Negotiated,11,h23_youshiki2-4
MLIT,NA,2011-07-29,2011 Jul,2011,21798000,21903000,日本交通計画協会,社団法人日本交通計画協会,社団法人　日本交通計画協会,NA,"東京都千代田区霞が関２－１－３
支出負担行為担当官
都市局長　加藤　利男",LRT等の公共交通の安全性向上に関する検討業務,Goods and Services,公社,国所管,1,Negotiated,2,h23_youshiki2-4
MLIT,NA,2011-07-29,2011 Jul,2011,6006000,6006000,海外建設協会,一般社団法人海外建設協会,"（特社）海外建設協会
東京都中央区八丁堀２－２４－２",NA,"支出負担行為担当官
国土交通省総合政策局長　北村隆志
東京都千代田区霞が関２－１－３",平成２３年度　ベトナム国事業監理能力向上支援業務,Goods and Services,特社,国所管,2,Negotiated,10,h23_youshiki2-4
MLIT,NA,2011-07-29,2011 Jul,2011,12118975,12120710,海外運輸協力協会,社団法人海外運輸協力協会,"（特社）海外運輸協力協会
東京都中央区日本橋浜町１－５－１３",NA,"支出負担行為担当官
国土交通省大臣官房会計課　重田　雅史
東京都千代田区霞が関２－１－３","平成２３年度　日ASEAN物流分野キャパシティ・ビルディング事業　
一式",Goods and Services,特社,国所管,1,Negotiated,3,h23_youshiki2-4
MLIT,NA,2011-07-29,2011 Jul,2011,1921500,2572500,近畿建設協会,社団法人近畿建設協会,"（特社）近畿建設協会
大阪府大阪市中央区大手前1-7-31",NA,"分任支出負担行為担当官
近畿地方整備局滋賀国道事務所長
大西　博
滋賀県大津市竜が丘4番5号",入札審査資料整理等業務　　　　　　　一式,Goods and Services,特社,国所管,3,Competitive,NA,h23_youshiki2-3
MLIT,NA,2011-07-29,2011 Jul,2011,7591500,NA,鉄道総合技術研究所,公益財団法人鉄道総合技術研究所,"公益財団法人鉄道総合技術研究所
東京都国分寺市光町2-8-38",NA,"契約担当役　
鉄道建設本部東京支社長
三輪　誠
東京都港区芝公園二丁目11番１号",電車線路設備の振動に関する技術的方策の研究,Goods and Services,公財,国所管,1,Negotiated,0,h23_youshiki3-4
MOD,NA,2011-07-29,2011 Jul,2011,9796500,0,航空交通管制協会,一般財団法人航空交通管制協会,"（特財）航空交通管制協会
東京都大田区羽田空港１－６－６",NA,"航空自衛隊航空中央業務隊会計科長
八木　真彦
東京都新宿区市谷本村町５－１","航空管制等英語能力証明に係る
試験実施業務請負　一式",Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MOD,NA,2011-07-29,2011 Jul,2011,1743000,0,防衛技術協会,一般財団法人防衛技術協会,"（特財）防衛技術協会
東京都文京区本郷３－２３－１４",NA,"契約担当官
防衛省技術研究本部
電子装備研究所総務課長
守田　清一
東京都世田谷区池尻１－２－２４","新野外通信システムの性能確認試験のための技術支援（その５）
１件",Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MOE,NA,2011-07-29,2011 Jul,2011,42525000,0,日本環境衛生センタ-,一般財団法人日本環境衛生センター,"財団法人日本環境衛生センター
神奈川県川崎市川崎区四谷上町10-6",NA,"支出負担行為担当官
環境省大臣官房会計課長
鎌形　浩史
東京都千代田区霞が関1-2-2",平成23年度化学物質環境実態調査制度管理棟業務,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MOJ,NA,2011-07-29,2011 Jul,2011,46200000,47863719,千葉県公共嘱託登記土地家屋調査士協会,社団法人千葉県公共嘱託登記土地家屋調査士協会,"社団法人千葉県公共嘱託登記土地家屋調査士協会
千葉県千葉市中央区中央港1-23-25",NA,"支出負担行為担当官
　千葉地方法務局長
　手塚　孝
（千葉県千葉市中央区中央港1-11-3）",東日本大震災倒壊建物の滅失調査作業請負委託,Goods and Services,特社,国所管,2,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-08-01,2011 Aug,2011,37926000,0,中央調査社,一般社団法人中央調査社,（社）中央調査社東京都中央区銀座６－１６－１２,NA,支出負担行為担当官　内閣府大臣官房会計担当参事官二村　二三男　東京都千代田区永田町１－６－１,｢外交｣、「国民生活」、「社会保障・税の番号制度」に関する世論調査,Goods and Services,特社,国所管,2,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-08-01,2011 Aug,2011,2271250,―,沖縄観光コンベンションビュ-ロ-,財団法人沖縄観光コンベンションビューロー,"財産法人沖縄観光コンベンションビューロー
沖縄県那覇市小録1831－1",NA,"支出負担行為担当官
沖縄総合事務局総務部長
田中愛智朗
沖縄県那覇市おもろまち2-1-1",風評被害対策緊急事業「豪州市場緊急事業」,Goods and Services,特財,国所管,1,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-08-01,2011 Aug,2011,1200000,―,沖縄観光コンベンションビュ-ロ-,財団法人沖縄観光コンベンションビューロー,"財団法人沖縄観光コンベンションビューロー
沖縄県那覇市小録1831－1",NA,"支出負担行為担当官
沖縄総合事務局総務部長
田中愛智朗
沖縄県那覇市おもろまち2-1-1",平成23年度外国人誘客推進事業（ビジットジャパン地方連携事業）台湾市場誘客事業,Goods and Services,特財,国所管,2,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-08-01,2011 Aug,2011,1040000,―,沖縄観光コンベンションビュ-ロ-,財団法人沖縄観光コンベンションビューロー,"財団法人沖縄観光コンベンションビューロー
沖縄県那覇市小録1831－1",NA,"支出負担行為担当官
沖縄総合事務局総務部長
田中愛智朗
沖縄県那覇市おもろまち2-1-1",平成23年度外国人誘客推進事業（ビジットジャパン地方連携事業）ロシア市場誘客事業,Goods and Services,特財,国所管,1,Negotiated,0,h23_youshiki2-4
MAFF,NA,2011-08-01,2011 Aug,2011,5124000,5124000,地域環境資源センタ-,社団法人地域環境資源センター,"社団法人地域環境資源センター
東京都港区新橋5-34-4",NA,"分任支出負担行為担当官中国四国農政局高知三波川帯農地保全事業所長萩野隆造
高知県南国市立田405",平成23年度　高知三波川帯農地保全事業　地すべり地域保全対策調査検討委託業務　,Goods and Services,特社,国所管,2,Negotiated,1,h23_youshiki2-4
MAFF,NA,2011-08-01,2011 Aug,2011,3895500,3895500,地域環境資源センタ-,社団法人地域環境資源センター,"社団法人地域環境資源センター
東京都港区新橋5-34-4",NA,"分任支出負担行為担当官　東北農政局和賀中部農業水利事業所長　浅田　務
岩手県北上市和賀町長沼6-131-1",和賀中部農業水利事業　和賀中部地区環境保全検討業務委託　岩手県花巻市、岩手県北上市及び岩手県胆沢郡金ヶ崎町　平成23年8月1日から平成24年3月9日まで　,Goods and Services,特社,国所管,3,Negotiated,1,h23_youshiki2-4
MAFF,NA,2011-08-01,2011 Aug,2011,5124000,5124000,地域環境資源センタ-,社団法人地域環境資源センター,"社団法人地域環境資源センター
東京都港区新橋5-34-4",NA,"分任支出負担行為担当官中国四国農政局高知三波川帯農地保全事業所長萩野隆造
高知県南国市立田405",高知三波川帯農地保全事業所地すべり地域保全対策調査検討委託業務,Goods and Services,特社,国所管,2,Negotiated,1,h23_youshiki2-4
MAFF,NA,2011-08-01,2011 Aug,2011,3255000,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会 札幌支部
札幌市中央区宮の森4条4丁目1-5",NA,"分任支出負担行為担当官
胆振東部森林管理署長
西真
白老郡白老町日の出町3丁目4-1","樽前地区収穫調査外部委託（第2号）
委託調査数量：間伐5,220m3",Goods and Services,特財,国所管,4,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-01,2011 Aug,2011,3990000,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会 札幌支部
札幌市中央区宮の森4条4丁目1-5",NA,"分任支出負担行為担当官
胆振東部森林管理署長
西真
白老郡白老町日の出町3丁目4-1","苫小牧地区収穫調査外部委託（第3号）
委託調査数量：間伐6,590m3",Goods and Services,特財,国所管,4,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-01,2011 Aug,2011,29400000,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会 秋田支部
秋田県秋田市中通六丁目7-9",NA,"分任支出負担行為担当官
秋田森林管理署長
奥刕屋忠法
秋田県秋田市河辺和田字和田156-3","収穫調査業務委託
70,679m3",Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-01,2011 Aug,2011,28350000,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会 秋田支部
秋田県秋田市中通六丁目7-9",NA,"分任支出負担行為担当官
秋田森林管理署長
奥刕屋忠法
秋田県秋田市河辺和田字和田156-3","収穫調査業務委託
60,642m3",Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-01,2011 Aug,2011,6610000,6610000,日本水土総合研究所,一般財団法人日本水土総合研究所,"財団法人日本水土総合研究所
東京都港区虎ノ門1-21-17",NA,"分任支出負担行為担当官中国四国農政局高知三波川帯農地保全事業所長萩野隆造
高知県南国市立田405",高知三波川帯農地保全事業所地すべり対策技術検討委託業務,Goods and Services,特財,国所管,1,Negotiated,1,h23_youshiki2-4
MAFF,NA,2011-08-01,2011 Aug,2011,25974900,0,畜産生物科学安全研究所,財団法人畜産生物科学安全研究所,"財団法人畜産生物科学安全研究所
神奈川県相模原市緑区橋本台三丁目７番１１号",NA,"支出負担行為担当官
農林水産省消費・安全局長
東京都千代田区霞が関１－２－１","生産資材安全確保調査・試験事業委託費
　動物用医薬品の使用基準・休薬期間設定のための残留試験委託事業
　事業メニュー「動物用医薬品の残留試験②」",Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-01,2011 Aug,2011,1575000,0,食品需給研究センタ-,社団法人食品需給研究センター,"財団法人畜産生物科学安全研究所
神奈川県相模原市緑区橋本台三丁目７番１１号",NA,"支出負担行為担当官
農林水産省消費・安全局長
東京都千代田区霞が関１－２－１","生産資材安全確保調査・試験事業委託費
　動物用医薬品の毒性試験委託事業
　事業メニュー「動物用医薬品の毒性試験④」",Goods and Services,特財,国所管,8,Competitive,NA,h23_youshiki2-3
METI,NA,2011-08-01,2011 Aug,2011,25445516,25740302,発電設備技術検査協会,一般財団法人発電設備技術検査協会,財団法人発電設備技術検査協会東京都港区芝大門２-１０-１２　ＫＤＸ芝大門ビル,NA,原子力安全・保安院　千代田区霞が関１－３－１ 支出負担行為担当官　原子力安全・保安院企画調整課長　片山　啓,平成２３年度高効率火力発電設備健全性調査,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
METI,NA,2011-08-01,2011 Aug,2011,11050645,11299582,発電設備技術検査協会,一般財団法人発電設備技術検査協会,財団法人発電設備技術検査協会東京都港区芝大門２-１０-１２　ＫＤＸ芝大門ビル,NA,原子力安全・保安院　千代田区霞が関１－３－１ 支出負担行為担当官　原子力安全・保安院企画調整課長　片山　啓,平成２３年度電気施設技術基準国際化調査（発電設備）,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
METI,NA,2011-08-01,2011 Aug,2011,49475071,NA,食品農医薬品安全性評価センタ-,公益財団法人食品農医薬品安全性評価センター,"財団法人食品農医薬品安全性評価センター
静岡県磐田市塩新田５８２－２",NA,経済産業本省　千代田区霞が関１－３－１ 支出負担行為担当官　経済産業省大臣官房会計課長　赤石　浩一,"平成２３年度中小企業化学物質調査（中生産量化学物質の安全性点検（急性毒性、反復投与毒性、遺伝毒性及び生殖発生毒性に関する有害性調査））",Goods and Services,特財,国所管,4,Negotiated,0,h23_youshiki2-4
MEXT,NA,2011-08-01,2011 Aug,2011,3380000,同種の他の契約の予定価格を類推させるおそれがあるため公表しない,九州先端科学技術研究所,財団法人九州先端科学技術研究所,"（財）九州先端科学技術研究所
福岡県福岡市早良区百道浜2丁目1番22号",NA,"分任契約担当者
ｲﾉﾍﾞｰｼｮﾝ推進本部本部長
(産学連携事業担当)
小原満穂",23年度A-STEP探索ﾀｲﾌﾟ採択課題に係る研究委託費,Goods and Services,特財,国所管,4692,Negotiated,0,h23_youshiki3-4
MEXT,NA,2011-08-01,2011 Aug,2011,1690000,同種の他の契約の予定価格を類推させるおそれがあるため公表しない,国際メディア研究財団,財団法人国際メディア研究財団,"（財）国際メディア研究財団
東京都新宿区三栄町7番地",NA,"分任契約担当者
ｲﾉﾍﾞｰｼｮﾝ推進本部本部長
(産学連携事業担当)
小原満穂",A-STEP探索ﾀｲﾌﾟ採択課題に係る研究委託費(23年度分),Goods and Services,特財,国所管,4692,Negotiated,0,h23_youshiki3-4
MEXT,NA,2011-08-01,2011 Aug,2011,5100000,同種の他の契約の予定価格を類推させるおそれがあるため公表しない,大阪バイオサイエンス研究所,公益財団法人大阪バイオサイエンス研究所,"（財）大阪バイオサイエンス研究所
大阪府吹田市古江台6-2-4",NA,"分任契約担当者
ｲﾉﾍﾞｰｼｮﾝ推進本部本部長
(産学連携事業担当)
小原満穂",A-STEP探索ﾀｲﾌﾟ採択課題に係る研究委託費(23年度分),Goods and Services,特財,国所管,4692,Negotiated,0,h23_youshiki3-4
MEXT,NA,2011-08-01,2011 Aug,2011,2824500,0,日本宇宙フォ-ラム,財団法人日本宇宙フォーラム,"（財）日本宇宙フォーラム
東京都千代田区神田駿河台３－２－１",NA,星子研二　契約部長　東京都調布市深大寺東町7-44-1,平成２１～２３年度公募小型副衛星施策に係る事務局業務支援　一式,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki3-3
MLIT,NA,2011-08-01,2011 Aug,2011,19264350,25064235,住宅管理協会,財団法人住宅管理協会,"（財）住宅管理協会
東京都千代田区神田神保町２－５",NA,"契約担当役
西日本支社長
糟谷　明人
大阪府大阪市城東区森之宮１－６－８５",団地再生等事業に係る居住者説明等業務（鶴舞（第Ⅱ期）団地）,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki3-3
MLIT,NA,2011-08-01,2011 Aug,2011,50510250,63972300,住宅管理協会,財団法人住宅管理協会,"（財）住宅管理協会
東京都千代田区神田神保町２－５",NA,"契約担当役
西日本支社長
糟谷　明人
大阪府大阪市城東区森之宮１－６－８５",２３－森之宮第２団地６号棟外３棟機械設備等修繕工事に伴う居住者対応業務,Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki3-3
MLIT,NA,2011-08-01,2011 Aug,2011,12600000,13020000,日本デジタル道路地図協会,一般財団法人日本デジタル道路地図協会,"（特財）日本デジタル道路地図協会
東京都千代田区平河町１－３－１３　ヒューリック平河町ビル５階",NA,"支出負担行為担当官
北陸地方整備局長　前川　秀和
新潟市中央区美咲町１－１－１","平成２３年度北陸地方整備局管内デジタル道路地図更新作業　
一式",Goods and Services,特財,国所管,1,Negotiated,2,h23_youshiki2-4
MLIT,NA,2011-08-01,2011 Aug,2011,18963000,19131000,日本建設情報総合センタ-,一般財団法人日本建設情報総合センター,"（財）日本建設情報総合センター
東京都港区赤坂七丁目１０番２０号",NA,"支出負担行為担当官
国土技術政策総合研究所長
西川　和廣
茨城県つくば市旭１番地",道路基盤地図情報を用いたＷｅｂマッピングシステムの機能要件等整理業務,Goods and Services,特財,国所管,1,Negotiated,4,h23_youshiki2-4
MLIT,NA,2011-08-01,2011 Aug,2011,13944000,13986000,日本開発構想研究所,一般財団法人日本開発構想研究所,"財団法人日本開発構想研究所
東京都港区虎ノ門１－１６－４


",NA,"支出負担行為担当官　国土交通省都市局長　加藤　利男
東京都千代田区霞が関２－１－３",平成23年度大都市圏における国際競争力の強化のための効果的な情報発信のあり方に関する検討調査,Goods and Services,特財,国所管,5,Negotiated,1,h23_youshiki2-4
MOD,NA,2011-08-01,2011 Aug,2011,61650,0,国際ビジネスコミュニケ-ション協会,一般財団法人国際ビジネスコミュニケーション協会,"（特財）国際ビジネスコミュニケーション協会
東京都千代田区永田町２－１４－２",NA,"支出負担行為担当官
防衛省情報本部総務部長
山本　祐一
東京都新宿区市谷本村町５－１",語学検定試験官派遣役務ほか,Goods and Services,特財,国所管,0,Negotiated,0,h23_youshiki2-4
MOD,NA,2011-08-01,2011 Aug,2011,2850750,0,防衛技術協会,一般財団法人防衛技術協会,"（特財）防衛技術協会
東京都文京区本郷３－２３－１４",NA,"契約担当官
防衛省技術研究本部陸上装備研究所総務課長　　
宮崎　康之
神奈川県相模原市中央区淵野辺２－９－５４","国内外における砲弾とロケット弾用子弾の信管の電源・通信・ＭＥＭＳ技術に関する動向調査
1件",Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MOE,NA,2011-08-01,2011 Aug,2011,9450000,10548894,地球環境戦略研究機関,公益財団法人地球環境戦略研究機関,"財団法人地球環境戦略研究機関
神奈川県三浦郡葉山町上山口2108-11",NA,"支出負担行為担当官
環境省大臣官房会計課長
鎌形　浩史
東京都千代田区霞が関1-2-2",平成23年度ＵＮＥＰ「持続可能な資源管理に関する国際パネル」支援検討調査業務,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MOE,NA,2011-08-01,2011 Aug,2011,9975000,10448452,地球環境戦略研究機関,公益財団法人地球環境戦略研究機関,"財団法人地球環境戦略研究機関
神奈川県三浦郡葉山町上山口2108-11",NA,"支出負担行為担当官
環境省大臣官房会計課長
鎌形　浩史
東京都千代田区霞が関1-2-2",平成23年度マレーシア国有機廃棄物管理プロジェクト支援業務,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MOE,NA,2011-08-01,2011 Aug,2011,4725000,0,日本環境教育フォ-ラム,公益社団法人日本環境教育フォーラム,"公益社団法人日本環境教育フォーラム
東京都新宿区新宿5－10－15ツインズ新宿ビル4階",NA,"支出負担行為担当官
環境省地球環境局長
鈴木　正規
東京都千代田区霞が関1-2-2",平成23年度日中韓環境教育シンポジウム及びワークショップ開催検討等委託業務,Goods and Services,公財,国所管,2,Competitive,NA,h23_youshiki2-3
MOFA,NA,2011-08-01,2011 Aug,2011,7366952,0,北九州国際技術協力協会,公益財団法人北九州国際技術協力協会,"財団法人北九州国際技術協力協会
福岡県北九州市八幡東区平野1-1-1 国際村交流ｾﾝﾀｰ4F",NA,"独立行政法人　国際協力機構
九州国際センター所長　村岡敬一
福岡県北九州市八幡東区平野2-2-1",平成23年度　国別研修「インド省エネルギー技術（1）」,Goods and Services,公財,国所管,1,Negotiated,0,h23_youshiki3-4
MOFA,NA,2011-08-01,2011 Aug,2011,6513447,0,日本国際協力センタ-,財団法人日本国際協力センター,"財団法人日本国際協力センター
東京都新宿区西新宿6-10-1",NA,"独立行政法人　国際協力機構
兵庫国際センター所長　伊禮英全
兵庫県神戸市中央区脇浜海岸通1-5-2",平成23年度　集団研修「食品の安全性確保」コースに係る委託契約,Goods and Services,特財,国所管,1,Negotiated,1,h23_youshiki3-4
MOFA,NA,2011-08-01,2011 Aug,2011,10697442,10700000,日本生産性本部,公益財団法人日本生産性本部,"公益財団法人日本生産性本部
東京都渋谷区渋谷３－１－１",NA,"支出負担行為担当官
外務省大臣官房会計課長　梨田和也
東京都千代田区霞が関２－２－１",「対ロシア技術支援日本センター巡回講座・訪日研修『人事労務管理（極東部）』」業務委嘱,Goods and Services,公財,国所管,3,Negotiated,0,h23_youshiki2-4
MOFA,NA,2011-08-01,2011 Aug,2011,7696694,7700000,日本生産性本部,公益財団法人日本生産性本部,"公益財団法人日本生産性本部
東京都渋谷区渋谷３－１－１",NA,"支出負担行為担当官
外務省大臣官房会計課長　梨田和也
東京都千代田区霞が関２－２－１",「対ロシア技術支援日本センターＯＪＴ研修事業『観光ビジネス（極東部）』」業務委嘱,Goods and Services,公財,国所管,3,Negotiated,0,h23_youshiki2-4
MOJ,NA,2011-08-01,2011 Aug,2011,44310000,44397542,埼玉公共嘱託登記土地家屋調査士協会,社団法人埼玉公共嘱託登記土地家屋調査士協会,"社団法人埼玉公共嘱託登記土地家屋調査士協会
埼玉県さいたま市浦和区高砂2-3-4-201",NA,"支出負担行為担当官
　さいたま地方法務局長
　山本　寧
（埼玉県さいたま市中央区下落合5-12-1)",登記所備付地図作成作業　一式,Goods and Services,特社,国所管,2,Negotiated,0,h23_youshiki2-4
MAFF,NA,2011-08-02,2011 Aug,2011,16800000,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会 青森支部
青森県青森市柳川二丁目3-35",NA,"分任支出負担行為担当官
宮城北部森林管理署長
飯塚充由
宮城県大崎市古川東町5-32","収穫調査業務委託
26,313m3",Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-02,2011 Aug,2011,4410000,0,林道安全協会,一般社団法人林道安全協会,"社団法人林道安全協会 四国支所
高知県高知市丸ノ内1-7-36",NA,"支出負担行為担当官
四国森林管理局長
宮原章人
高知県高知市丸ノ内1-3-30","平成23年度国有林林道等交通安全指導業務
国有林林道等56路線安全指導一式",Goods and Services,特社,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-02,2011 Aug,2011,3570000,0,林道安全協会,一般社団法人林道安全協会,"社団法人林道安全協会四国支所
高知県高知市丸ノ内1-7-36",NA,"支出負担行為担当官
四国森林管理局長
宮原章人
高知県高知市丸ノ内1-3-30","平成23年度国有林林道等施設点検管理業務（四国中・西部ブロツク）
国有林林道等57路線施設点検一式",Goods and Services,特社,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-02,2011 Aug,2011,1680000,0,林道安全協会,一般社団法人林道安全協会,"社団法人林道安全協会四国支所
高知県高知市丸ノ内1-7-36",NA,"支出負担行為担当官
四国森林管理局長
宮原章人
高知県高知市丸ノ内1-3-30","平成23年度国有林林道等施設点検管理業務（四国東部ブロック）
国有林林道等20路線施設点検一式",Goods and Services,特社,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-02,2011 Aug,2011,5880000,6163500,農業農村整備情報総合センタ-,社団法人農業農村整備情報総合センター,"社団法人農業農村整備情報総合ｾﾝﾀｰ
東京都中央区日本橋富沢町10-16MY ARK日本橋ﾋﾞﾙ２F",NA,"分任支出負担行為担当官　関東農政局土地改良技術事務所長　柴田　知広
埼玉県川口市南町2-5-3",名称：平成２３年度　土地改良技術　産学連携推進検討業務　数量：一式,Goods and Services,特社,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-02,2011 Aug,2011,4725000,0,食品需給研究センタ-,社団法人食品需給研究センター,"財団法人畜産生物科学安全研究所
神奈川県相模原市緑区橋本台三丁目７番１１号",NA,"支出負担行為担当官
農林水産省消費・安全局長
東京都千代田区霞が関１－２－１","生産資材安全確保調査・試験事業委託費
　水産用医薬品の残留性検証委託事業
　（スルフィソゾールナトリウムを有効成分とする飼料添加剤のコイにおける残留試験）",Goods and Services,特財,国所管,3,Competitive,NA,h23_youshiki2-3
METI,NA,2011-08-02,2011 Aug,2011,126000000,136078627,新エネルギ-財団,一般財団法人新エネルギー財団,地熱技術開発株式会社、三菱マテリアル株式会社、三菱マテリアルテクノ株式会社、財団法人新エネルギー財団東京都中央区新川１丁目２２番４号、東京都千代田区大手町１－３－２、東京都千代田区九段北１-１４-１６、東京都豊島区東池袋三丁目１３番２号,NA,資源エネルギー庁　千代田区霞が関１－３－１ 支出負担行為担当官　資源エネルギー庁長官官房総合政策課長　後藤　収,平成23年度新エネルギー等導入促進基礎調査（地熱開発導入基盤整備調査）,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MEXT,NA,2011-08-02,2011 Aug,2011,9937812,0,エヌエイチケイサ-ビスセンタ-,財団法人エヌエイチケイサービスセンター,"財団法人エヌエイヒケイサービスセンター
東京都渋谷区宇田川町４１－１",NA,"文化庁次長　
吉田　大輔
東京都千代田区霞が関3-2-2",平成23年度変容の危機にある無形の民俗文化財の記録作成の推進事業『阿波の襖カラクリの習俗』映像記録制作,Goods and Services,特財,国所管,15,Negotiated,0,h23_youshiki2-4
MEXT,NA,2011-08-02,2011 Aug,2011,562414013,0,原子力安全技術センタ-,公益財団法人原子力安全技術センター,"財団法人原子力安全技術センター
東京都文京区白山5-1-3-101",NA,庄子邦明　産学連携推進部　茨城県那珂郡東海村白方字白根2-4,広域環境モニタリングのための航空機を用いた線量測定及び測定データの解析　一式,Goods and Services,特財,国所管,1,Negotiated,0,h23_youshiki3-4
MEXT,NA,2011-08-02,2011 Aug,2011,37628514,0,日本地図センタ-,財団法人日本地図センター,"財団法人日本地図センター
東京都目黒区青葉台4-9-6",NA,庄子邦明　産学連携推進部　茨城県那珂郡東海村白方字白根2-4,広域環境モニタリングのための航空機を用いた放射線マップの作成　一式,Goods and Services,特財,国所管,1,Negotiated,0,h23_youshiki3-4
MEXT,NA,2011-08-02,2011 Aug,2011,4967295,4967295,日本私学教育研究所,一般財団法人日本私学教育研究所,"財団法人 日本私学教育研究所
東京都千代田区九段北４－３－８",NA,"初等中等教育局長　山中　伸一
東京都千代田区霞が関3-2-2",学校運営の改善の在り方に関する調査研究,Goods and Services,特財,国所管,11,Negotiated,0,h23_youshiki2-4
MLIT,NA,2011-08-02,2011 Aug,2011,14910000,17062500,全国国土調査協会,社団法人全国国土調査協会,"（特社）全国国土調査協会
東京都千代田区永田町１－１１－３２",NA,"支出負担行為担当官
国土交通省土地・建設産業局長　内田　要
東京都千代田区霞が関２－１－２",平成２３年度都市部官民境界基本調査に係る監督補助業務,Goods and Services,特社,国所管,2,Competitive,NA,h23_youshiki2-3
MOD,NA,2011-08-02,2011 Aug,2011,30060868,30587580,防衛施設周辺整備協会,財団法人防衛施設周辺整備協会,"（特財）防衛施設周辺整備協会東北支所
宮城県東松島市矢本字大溜６５－３",NA,"支出負担行為担当官
東北防衛局長
増田　義一
仙台市宮城野区五輪１－３－１５",松島飛行場周辺における住宅防音事業に係る事務手続補助等業務,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-08-03,2011 Aug,2011,10500000,10542000,日本水土総合研究所,一般財団法人日本水土総合研究所,"財団法人日本水土総合研究所
東京都港区虎ノ門１丁目21番17号",NA,"支出負担行為担当官　農村振興局長　實重　重実
東京都千代田区霞が関１－２－１",平成23年度計画基準に関する技術資料作成等調査業務,Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
